Event: 9283, Lumi: 93, Run: 1
Event: 9284, Lumi: 93, Run: 1
Event: 9285, Lumi: 93, Run: 1
Event: 9287, Lumi: 93, Run: 1
Event: 9288, Lumi: 93, Run: 1
Event: 9289, Lumi: 93, Run: 1
Event: 9290, Lumi: 93, Run: 1
Event: 9291, Lumi: 93, Run: 1
Event: 9292, Lumi: 93, Run: 1
Event: 9293, Lumi: 93, Run: 1
Event: 9294, Lumi: 93, Run: 1
Event: 9295, Lumi: 93, Run: 1
Event: 9298, Lumi: 93, Run: 1
Event: 9300, Lumi: 93, Run: 1
Event: 9301, Lumi: 94, Run: 1
Event: 9302, Lumi: 94, Run: 1
Event: 9303, Lumi: 94, Run: 1
Event: 9304, Lumi: 94, Run: 1
Event: 9305, Lumi: 94, Run: 1
Event: 9306, Lumi: 94, Run: 1
Event: 9307, Lumi: 94, Run: 1
Event: 9308, Lumi: 94, Run: 1
Event: 9309, Lumi: 94, Run: 1
Event: 9310, Lumi: 94, Run: 1
Event: 9311, Lumi: 94, Run: 1
Event: 9312, Lumi: 94, Run: 1
Event: 9313, Lumi: 94, Run: 1
Event: 9314, Lumi: 94, Run: 1
Event: 9315, Lumi: 94, Run: 1
Event: 9316, Lumi: 94, Run: 1
Event: 9317, Lumi: 94, Run: 1
Event: 9318, Lumi: 94, Run: 1
Event: 9319, Lumi: 94, Run: 1
Event: 9320, Lumi: 94, Run: 1
Event: 9321, Lumi: 94, Run: 1
Event: 9322, Lumi: 94, Run: 1
Event: 9323, Lumi: 94, Run: 1
Event: 9324, Lumi: 94, Run: 1
Event: 9325, Lumi: 94, Run: 1
Event: 9326, Lumi: 94, Run: 1
Event: 9327, Lumi: 94, Run: 1
Event: 9328, Lumi: 94, Run: 1
Event: 9330, Lumi: 94, Run: 1
Event: 9331, Lumi: 94, Run: 1
Event: 9332, Lumi: 94, Run: 1
Event: 9333, Lumi: 94, Run: 1
Event: 9334, Lumi: 94, Run: 1
Event: 9335, Lumi: 94, Run: 1
Event: 9336, Lumi: 94, Run: 1
Event: 9337, Lumi: 94, Run: 1
Event: 9338, Lumi: 94, Run: 1
Event: 9339, Lumi: 94, Run: 1
Event: 9340, Lumi: 94, Run: 1
Event: 9341, Lumi: 94, Run: 1
Event: 9342, Lumi: 94, Run: 1
Event: 9343, Lumi: 94, Run: 1
Event: 9344, Lumi: 94, Run: 1
Event: 9345, Lumi: 94, Run: 1
Event: 9346, Lumi: 94, Run: 1
Event: 9347, Lumi: 94, Run: 1
Event: 9348, Lumi: 94, Run: 1
Event: 9349, Lumi: 94, Run: 1
Event: 9350, Lumi: 94, Run: 1
Event: 9352, Lumi: 94, Run: 1
Event: 9353, Lumi: 94, Run: 1
Event: 9354, Lumi: 94, Run: 1
Event: 9355, Lumi: 94, Run: 1
Event: 9356, Lumi: 94, Run: 1
Event: 9357, Lumi: 94, Run: 1
Event: 9358, Lumi: 94, Run: 1
Event: 9359, Lumi: 94, Run: 1
Event: 9360, Lumi: 94, Run: 1
Event: 9361, Lumi: 94, Run: 1
Event: 9362, Lumi: 94, Run: 1
Event: 9363, Lumi: 94, Run: 1
Event: 9364, Lumi: 94, Run: 1
Event: 9365, Lumi: 94, Run: 1
Event: 9366, Lumi: 94, Run: 1
Event: 9367, Lumi: 94, Run: 1
Event: 9368, Lumi: 94, Run: 1
Event: 9369, Lumi: 94, Run: 1
Event: 9370, Lumi: 94, Run: 1
Event: 9371, Lumi: 94, Run: 1
Event: 9372, Lumi: 94, Run: 1
Event: 9373, Lumi: 94, Run: 1
Event: 9374, Lumi: 94, Run: 1
Event: 9375, Lumi: 94, Run: 1
Event: 9376, Lumi: 94, Run: 1
Event: 9377, Lumi: 94, Run: 1
Event: 9378, Lumi: 94, Run: 1
Event: 9379, Lumi: 94, Run: 1
Event: 9380, Lumi: 94, Run: 1
Event: 9382, Lumi: 94, Run: 1
Event: 9383, Lumi: 94, Run: 1
Event: 9384, Lumi: 94, Run: 1
Event: 9385, Lumi: 94, Run: 1
Event: 9386, Lumi: 94, Run: 1
Event: 9387, Lumi: 94, Run: 1
Event: 9388, Lumi: 94, Run: 1
Event: 9389, Lumi: 94, Run: 1
Event: 9390, Lumi: 94, Run: 1
Event: 9391, Lumi: 94, Run: 1
Event: 9392, Lumi: 94, Run: 1
Event: 9393, Lumi: 94, Run: 1
Event: 9394, Lumi: 94, Run: 1
Event: 9395, Lumi: 94, Run: 1
Event: 9396, Lumi: 94, Run: 1
Event: 9397, Lumi: 94, Run: 1
Event: 9398, Lumi: 94, Run: 1
Event: 9399, Lumi: 94, Run: 1
Event: 9400, Lumi: 94, Run: 1
Event: 9401, Lumi: 95, Run: 1
Event: 9402, Lumi: 95, Run: 1
Event: 9403, Lumi: 95, Run: 1
Event: 9404, Lumi: 95, Run: 1
Event: 9405, Lumi: 95, Run: 1
Event: 9406, Lumi: 95, Run: 1
Event: 9407, Lumi: 95, Run: 1
Event: 9408, Lumi: 95, Run: 1
Event: 9409, Lumi: 95, Run: 1
Event: 9410, Lumi: 95, Run: 1
Event: 9411, Lumi: 95, Run: 1
